id,name,cuisine,price_range,avg_price_per_person,region,city,address,phone,rating,review_count,website,popular_hours
530,Alinea,American,$$,16.97,Asia,"East Thomas, CV",403 Jacobson Expressway,+1-942-235-3122x363,3.8,480,https://sandoval.biz/,13:00-20:00
531,Issaya Siamese Club,Thai,$$,17.68,Europe,"Taylorfort, CL",48477 Annette Fort Apt. 405,423.407.1315x806,4.2,572,https://donaldson.org/,14:00-20:00
532,Maximo Bistrot,Mexican,$$,15.13,Asia,"Tommyhaven, MX",414 Rodriguez Run Suite 187,814.376.9989,4.5,505,https://coleman-lamb.org/,14:00-22:00
533,Varoulko Seaside,Greek,$$$,44.04,Europe,"East Wayne, NZ",8104 Sonia Cove Suite 891,831.427.3080,3.8,329,https://www.nelson.biz/,16:00-20:00
534,Ryugin,Japanese,$$,21.8,North America,"East Julie, NH",53310 Kelly Path Suite 423,001-221-426-1213x786,4.2,491,https://mills-watson.com/,13:00-23:00
535,Karam Sethi,Indian,$$,26.31,North America,"Lisafurt, WV",165 Stephanie Estates Suite 641,710.668.6362x72672,3.7,463,http://www.johnson.com/,14:00-21:00
536,Antica Pesa,Italian,$$,24.08,Asia,"North Jason, MX",18389 Kimberly Glen,001-602-232-5016x566,3.7,505,http://www.johnson-jackson.com/,11:00-22:00
537,Tempura Kondo,Japanese,$$$,37.49,Europe,"New Ronaldstad, TH",5014 Moore Turnpike Apt. 872,001-374-913-4866x596,4.3,334,http://ward.biz/,15:00-22:00
538,Ciya Sofrası,Turkish,$$$,33.5,Middle East,"Danielsville, LA",39947 Saunders Centers,509.817.4168,4.8,378,https://www.hill-evans.biz/,14:00-20:00
539,Lasai,Brazilian,$$,30.18,North America,"Bartlettbury, ID",208 Wesley Bridge Apt. 212,960-737-3679,4.4,529,http://williams-ross.org/,11:00-23:00
540,Ristorante Grotta Palazzese,Italian,$$$,49.89,Middle East,"Tonyaborough, IQ",93410 John Mountains Apt. 786,578.467.0208,4.6,424,https://adkins.com/,16:00-21:00
541,Gymkhana,Indian,$$,28.99,North America,"Torresland, UT",895 Diana Cape Suite 633,260.654.2070,3.5,454,http://gutierrez.com/,15:00-23:00
542,Epicure,French,$$$,68.42,North America,"Jasonberg, TX",54326 Roy Haven Apt. 145,(968)598-7735x0426,4.1,307,https://www.herring.com/,12:00-22:00
543,Trattoria Zà Zà,Italian,$$$,74.42,North America,"Delgadofort, IA",863 Lawrence Heights Apt. 413,200.426.6918,4.3,350,http://www.sawyer.com/,16:00-20:00
544,Maido,Peruvian,$$,20.01,North America,"Victoriahaven, PR",416 House Wall,001-584-310-4619,3.9,559,http://clark-gates.com/,11:00-22:00
545,Karam Sethi,Indian,$$,20.68,Asia,"Davidstad, MD",5896 Alexander Shores Apt. 886,8088125798,4.0,540,https://www.bishop.com/,14:00-21:00
546,Bun Cha Huong Lien,Vietnamese,$$,22.34,Middle East,"Lake Dylanberg, PH",01664 Jennifer Landing Suite 502,001-351-914-3104x2011,4.5,529,https://www.bowers.com/,13:00-22:00
547,CTC Urban Gastronomy,Greek,$,4.2,Asia,"Paulland, LK",508 Daniel Springs,900.934.3694x614,3.2,255,https://rodriguez.com/,11:00-22:00
548,Borgo San Jacopo,Italian,$$$$,91.57,Middle East,"North Jonathan, PE",666 Rachael Inlet,001-881-287-0062x60469,4.6,195,https://boyer-lee.com/,12:00-23:00
549,Quintonil,Mexican,$,13.47,Europe,"North Rodneymouth, AM",0105 Hensley Common,001-735-389-5570,3.5,209,http://www.brown-hill.com/,14:00-21:00
550,SingleThread,American,$,6.06,Asia,"West Zacharyport, PG",043 Yates Avenue Suite 520,783-494-8342x1410,3.6,244,http://www.hill.org/,16:00-21:00
551,La Yeon,Korean,$$$,73.89,North America,"New Richard, OK",4971 Ronnie Ferry,+1-854-505-4819x711,4.9,380,https://www.shelton.com/,13:00-20:00
552,Eleven Madison Park,American,$,8.96,Middle East,"Robertshire, BF",61706 Joshua Via,(824)820-5580,4.1,226,https://www.tapia-cordova.com/,14:00-20:00
553,D.O.M.,Brazilian,$$$,58.4,North America,"Brianton, MD",9764 Angela Port Suite 393,686.498.0748,4.3,386,https://morales.com/,11:00-23:00
554,Din Tai Fung,Chinese,$$,16.89,Europe,"Lake Erikborough, VE",11628 Snyder Motorway,(663)661-0746x3661,3.4,452,http://morales.com/,13:00-21:00
555,Bukhara,Indian,$$,22.27,South America,"Paynechester, PT",6663 Sean Points,+1-814-538-0776x603,3.7,508,https://shaw-lawrence.com/,16:00-21:00
556,Ultraviolet by Paul Pairet,Chinese,$$$,36.41,North America,"New Tiffanymouth, MO",0179 David Rapids Apt. 000,6778563747,4.8,426,https://hobbs-jackson.com/,13:00-20:00
557,Dum Pukht,Indian,$$,18.66,North America,"Barneshaven, SC",6585 Joseph Circles,604-500-5080,4.2,528,https://hays.biz/,15:00-23:00
558,Osso,Peruvian,$$$,48.46,South America,"Ortegastad, BH",5109 Hamilton Tunnel Apt. 365,4112113997,4.2,362,http://www.smith.com/,14:00-21:00
559,Contramar,Mexican,$$,34.57,North America,"Port Bradley, IN",642 Alexa Vista Suite 887,+1-347-518-9419x79227,4.2,529,https://wolfe-holmes.biz/,14:00-21:00
560,Eleven Madison Park,American,$$$,55.65,North America,"Richardmouth, AS",249 Isabella Roads Apt. 553,744.486.0976x6804,3.5,271,https://brown.com/,11:00-23:00
561,Arzak,Spanish,$$$,52.36,North America,"Judytown, AZ",5897 Hailey Crest,+1-463-978-1321x46355,4.6,409,http://rogers.com/,16:00-23:00
562,Maido,Peruvian,$,7.61,Europe,"Martinezburgh, BD",69358 William Turnpike Suite 962,852-473-0414,3.9,265,http://mckenzie.biz/,11:00-22:00
563,Pizzeria Brandi,Italian,$$$,50.1,North America,"Rhondaport, NC",5900 Alexander Isle,912.690.7276,3.9,335,https://www.schwartz-black.com/,15:00-21:00
564,Claro,Mediterranean,$$,24.35,North America,"Lake Nicole, NE",172 Harris Via Apt. 472,207.463.7229x69675,4.1,477,https://www.wright-rivas.net/,12:00-22:00
565,Varoulko Seaside,Greek,$$,16.99,Asia,"Batesstad, MU",146 Williams Squares,2715228973,4.1,534,https://www.lopez.info/,14:00-21:00
566,Leila,Lebanese,$$,17.44,North America,"Lloydmouth, SC",510 Rodriguez Unions,001-750-819-3016x686,4.2,545,http://jackson-elliott.com/,15:00-22:00
567,Em Sherif,Lebanese,$,9.59,North America,"Josephmouth, KY",9298 Maddox Parkways,(425)820-1949,3.3,210,http://www.brown.info/,15:00-20:00
568,El Celler de Can Roca,Spanish,$,5.69,Europe,"Crawfordborough, PH",11684 John Spurs,001-491-728-2052x7566,3.9,268,http://www.gray-sanchez.info/,11:00-20:00
569,Din Tai Fung,Chinese,$$,33.14,North America,"West Andrewside, MN",32168 Jared Terrace Apt. 108,267-494-3596x99204,4.2,526,https://newman.net/,16:00-22:00
570,Schote,German,$$$,47.74,Europe,"Mooreview, PG",255 Heather Spurs Apt. 808,(426)627-3446,4.1,292,https://www.guzman.biz/,11:00-21:00
571,Quintonil,Mexican,$$,19.01,North America,"West Tiffany, NM",78104 Shawn River Suite 052,+1-822-543-4933x807,4.2,554,http://alvarado-castro.com/,11:00-22:00
572,Pho Thin,Vietnamese,$$,16.2,South America,"East Robert, AU",052 Wilson Course,(231)726-4468,3.8,452,https://carroll.info/,11:00-20:00
573,French Laundry,American,$$$,39.06,North America,"West Sandraburgh, VI",792 Nathan Stream Suite 158,834.224.4336x057,4.0,350,https://ward.com/,11:00-20:00
574,Sukiyabashi Jiro,Japanese,$$$,37.41,Europe,"New Traciehaven, CI",43932 Miller Expressway,237.824.8047x197,4.3,332,https://www.thomas.com/,14:00-22:00
575,Yan Toh Heen,Chinese,$$,20.41,Europe,"Danielview, KE",1102 Hicks Tunnel Suite 924,+1-666-891-7939x5481,4.1,474,https://barker.com/,14:00-22:00
576,Yan Toh Heen,Chinese,$$,16.24,Europe,"Jonathanburgh, PA",9517 Patricia Forest Apt. 400,+1-573-389-9386x120,4.1,527,http://tyler-adams.net/,14:00-21:00
577,Cosme,Mexican,$,9.53,Europe,"Perezberg, GQ",393 Kaitlyn Locks Apt. 535,+1-270-513-3333,3.6,210,https://hopkins-andrade.org/,11:00-20:00
578,Antica Pesa,Italian,$$,20.75,North America,"Alexanderport, MT",6160 Goodman Land Apt. 439,001-238-282-5105x6845,3.6,496,https://perez-nelson.com/,16:00-21:00
579,Eleven Madison Park,American,$$$,34.94,Europe,"Lake Jessica, BG",67395 Lisa Burg,4037433393,3.7,317,https://www.winters.info/,14:00-22:00
580,Duck & Waffle,Mediterranean,$,6.98,Europe,"West Madison, JM",9726 Rodriguez Union,(412)382-4718x725,4.0,289,http://www.sweeney-hill.org/,11:00-23:00
581,Indian Accent,Indian,$$,22.77,North America,"West Eduardomouth, SD",3868 Raymond Hills Apt. 207,001-526-511-1336x328,4.2,519,http://www.lopez-gordon.com/,12:00-23:00
582,Ristorante Grotta Palazzese,Italian,$$$,37.09,North America,"Alexland, KS",787 Walter Grove Apt. 775,473.482.3914x83069,4.4,364,https://www.torres.com/,13:00-20:00
583,Pizzeria Brandi,Italian,$$$,25.75,Asia,"Port Amanda, HR",4395 Berg Heights Apt. 791,(352)971-6641,4.5,373,https://marks.com/,13:00-23:00
584,Ta Karamanlidika Tou Fani,Greek,$$,18.16,North America,"Danielhaven, IA",26820 Wilson Orchard,001-362-389-0377x9943,4.1,510,https://www.boyer-hodges.com/,11:00-20:00
585,Ryugin,Japanese,$$,24.02,North America,"East Patricialand, NH",9979 Toni Run,(864)409-4129,3.8,462,http://www.oconnor-merritt.com/,13:00-21:00
586,Pujol,Mexican,$,13.58,Europe,"South Christopher, LC",46252 Camacho Spring,(790)483-8517,4.2,239,http://www.johnson.com/,14:00-21:00
587,Bukhara,Indian,$,7.85,Europe,"Carrollside, CH",0721 Kayla Square,(521)741-3758x44791,3.8,255,http://www.king.biz/,14:00-23:00
588,Contramar,Mexican,$$,27.44,North America,"Lake Susanside, KS",837 Gary Port,5813940473,3.7,445,http://garcia.info/,12:00-22:00
589,Funky Gourmet,Greek,$,14.63,North America,"Maldonadofurt, SD",6368 Edward Spring Apt. 681,(330)230-7306x93135,3.7,243,https://blair.org/,12:00-20:00
590,Sukiyabashi Jiro,Japanese,$$,19.27,North America,"West Beth, VT",9292 Alexander Pines Suite 948,(284)268-1014,3.8,478,https://www.cunningham.biz/,16:00-21:00
591,Asador Etxebarri,Spanish,$$,17.36,Asia,"New Derrick, SE",28907 Hardin Run Apt. 318,(223)408-8563x79233,4.0,520,http://baker.com/,12:00-23:00
592,Duddell's,Chinese,$$,15.72,Asia,"North Jaredstad, EE",38206 Hughes Inlet,465.929.7356x37781,4.1,489,https://www.dixon-nunez.org/,11:00-21:00
593,Bun Cha Huong Lien,Vietnamese,$$$,41.26,North America,"Jenniferland, UT",3018 Whitehead Fork,929.604.3978x363,4.3,336,http://www.spencer-ray.biz/,16:00-20:00
594,Le Tobsil,Moroccan,$$,31.11,Europe,"Phillipton, AG",922 Hansen Lodge,670-781-4635x8102,4.4,586,https://powell.org/,16:00-22:00
595,DiverXO,Spanish,$$,21.45,Europe,"Garrettmouth, AU",686 Woodard Causeway Suite 245,(562)305-8257x430,3.9,561,http://park.com/,12:00-23:00
596,Zahav,Mediterranean,$$,21.28,Asia,"Wallacebury, GB",5486 Sarah Parkways Suite 590,716-475-6056,4.5,518,https://www.francis.org/,16:00-21:00
597,D.O.M.,Brazilian,$$,17.29,Asia,"Barrhaven, UZ",79354 Schaefer Ramp,281.569.0266,3.9,507,https://www.smith-ewing.com/,11:00-23:00
598,Paste,Thai,$,10.27,Europe,"South Laura, JP",419 Elaine Hills Suite 285,591-808-7224x6141,3.2,208,https://www.wood-martinez.com/,15:00-22:00
599,Ta Karamanlidika Tou Fani,Greek,$,7.99,North America,"Walterland, AK",2239 Torres Common Suite 270,535.625.0355x70809,4.2,256,http://www.rojas-frazier.biz/,15:00-23:00
600,La Mar,Peruvian,$$,21.14,Asia,"Port Mollyland, LR",78766 Morse Pass,932-271-9683x8363,3.9,521,https://www.tucker.net/,16:00-20:00
601,Astrid y Gastón,Peruvian,$$$,53.86,North America,"New Edward, KS",23491 Diaz Stream,793-509-8467,4.7,427,http://www.mccoy.info/,13:00-21:00
602,Kojima,Korean,$$,24.5,Middle East,"Jayfurt, CI",095 Johnson Freeway Suite 367,+1-782-964-2027,3.7,466,http://www.short.com/,16:00-22:00
603,Pizzeria Brandi,Italian,$,14.77,North America,"New Stevenville, SC",9370 Clark Square,001-232-465-9397x444,3.6,219,http://simmons-randolph.biz/,16:00-22:00
604,Le Tobsil,Moroccan,$$,22.25,Middle East,"North Kevinburgh, AF",8239 Harold Common Suite 124,+1-474-434-1538x6069,4.2,543,http://www.vaughn.com/,14:00-23:00
605,Trattoria Zà Zà,Italian,$$,32.76,North America,"Russellborough, TN",3910 Mathews Rapid,852-728-0888x253,4.0,537,http://wilkinson.com/,13:00-22:00
606,Ultraviolet by Paul Pairet,Chinese,$$,20.94,Asia,"Sandraberg, LC",53990 Calhoun Keys,001-465-644-0015,4.4,546,http://www.hernandez.com/,16:00-20:00
607,Asador Etxebarri,Spanish,$,9.36,Europe,"Port Ericport, BH",89056 Megan Road,946.540.2617x0945,4.0,232,https://gardner.com/,15:00-21:00
608,Jinjuu,Korean,$,11.25,Europe,"East Joseph, CM",05065 Whitehead Islands,+1-580-492-0750x135,4.1,212,http://mcneil-smith.org/,13:00-21:00
609,Karaköy Lokantası,Turkish,$$$$,111.55,Middle East,"Keithville, LT",17091 Diane Groves Suite 720,(322)786-1596x424,4.8,195,https://www.mata.com/,13:00-23:00
610,Contramar,Mexican,$$$,48.72,Asia,"South Ryanport, ET",70012 Leon Trace Suite 855,421-512-4976x6416,4.3,427,http://www.allison.com/,13:00-21:00
611,Nopi,Mediterranean,$$$,54.28,North America,"West Emilyshire, MT",313 Carolyn Islands,3912297216,4.5,368,http://kennedy.org/,14:00-22:00
612,Al Fassia,Moroccan,$$,25.6,Europe,"Erictown, DZ",9016 Johnson Crossroad Suite 235,+1-464-360-6552x8795,3.9,532,http://www.jackson-alexander.com/,11:00-20:00
613,Antica Pesa,Italian,$$$,46.98,North America,"East Jeffreystad, PR",027 Glenn Mountains,965.514.8168x85185,4.3,377,https://wood-hubbard.org/,11:00-22:00
614,Bukhara,Indian,$,11.51,North America,"West Travis, CT",24110 Payne Crest,602.218.2932x7368,3.3,233,http://lozano.com/,16:00-20:00
615,Paste,Thai,$,14.31,North America,"Burnettfort, NY",2267 Barrett Islands Suite 048,001-979-575-9263x856,3.9,262,https://www.reed-miller.com/,12:00-20:00
616,Leila,Lebanese,$$,26.74,North America,"Alexmouth, DC",17105 Gabrielle Curve Apt. 779,001-387-824-2650,4.2,561,https://patel.com/,11:00-22:00
617,Vietnam House,Vietnamese,$,14.98,North America,"North Nicoleview, NC",367 Brooks Prairie Apt. 894,661.505.5098,3.8,234,http://www.phillips-le.com/,16:00-22:00
618,Cosme,Mexican,$$,28.72,Europe,"South Jessicaview, HU",910 Jessica Drives,352-826-7580x754,3.6,507,https://www.dixon-santos.com/,16:00-21:00
619,Bukhara,Indian,$$,23.42,Asia,"Lake Williamside, GT",75244 Jessica Hill,001-997-737-8446x223,4.2,445,https://www.waters-thompson.com/,14:00-20:00
620,Dio Dekares i Oka,Greek,$,14.45,North America,"Gaytown, KS",7544 Clark Isle,743-909-2930,4.1,217,https://www.murphy.com/,13:00-21:00
621,Ristorante Grotta Palazzese,Italian,$$,32.67,North America,"Port Jonathan, FM",726 Austin Street,217-292-5793x956,3.8,495,https://beard-bennett.biz/,16:00-21:00
622,Ta Karamanlidika Tou Fani,Greek,$$,27.14,North America,"New Dannychester, WI",969 Edward Rapids Apt. 458,001-927-980-6649x8587,4.3,545,https://hunt.com/,13:00-22:00
623,Fasano,Brazilian,$$,11.98,South America,"East Michealfort, LR",6569 Harris Bypass,(324)918-0367,4.2,570,http://freeman.com/,11:00-20:00
624,Xu,Vietnamese,$$,21.85,Asia,"Powellborough, HT",099 Flynn Islands,001-862-763-8389x186,3.7,491,http://friedman.com/,11:00-22:00
625,Da Enzo al 29,Italian,$$,24.33,Europe,"East Douglasshire, KP",0825 Heather Station Suite 232,(636)762-8120x12981,3.9,482,http://washington.info/,11:00-21:00
626,Pizzeria Brandi,Italian,$$,21.54,Middle East,"Karenborough, SG",0102 Charlotte Union,545-498-0738,4.3,522,http://cortez.biz/,15:00-20:00
627,Cosme,Mexican,$,9.57,Asia,"Lyonsview, SI",37602 Matthew Harbor,462.766.1515x714,4.0,244,http://www.lucas.com/,13:00-20:00
628,DiverXO,Spanish,$$$,32.32,Africa,"Garretthaven, DZ",3785 Kane Road Apt. 048,+1-337-473-9024,4.2,332,http://johnson-patrick.info/,12:00-22:00
629,Mashya,Mediterranean,$$,26.0,Europe,"Craigfurt, JP",0875 Michael Dale Apt. 409,977-470-5390,4.5,543,https://www.palmer.org/,11:00-22:00
630,Uludağ Kebapçısı,Turkish,$$,27.83,North America,"Lake Shellyberg, VT",8326 Smith Ridges Apt. 939,6234574635,4.0,499,https://good.com/,15:00-21:00
631,Ristorante Grotta Palazzese,Italian,$$$$,195.1,Europe,"Fishermouth, TM",144 Cox Lodge,897-932-8081,4.7,173,https://www.benton.com/,11:00-20:00
632,Le Palais Gharnata,Moroccan,$$,30.35,North America,"West Amber, ME",888 Brown Parks Suite 193,(248)368-0706,4.4,595,http://carter-hensley.com/,15:00-21:00
633,Pujol,Mexican,$$,33.96,North America,"West Marieview, AZ",417 Russell Mountain Suite 769,3123489476,3.6,437,http://hale.com/,16:00-23:00
634,Tawlet,Lebanese,$,7.01,North America,"Aaronton, NE",06825 Debra Burg,7869648798,3.2,245,http://jones.com/,13:00-22:00
635,Sushi Saito,Japanese,$$$,43.29,Europe,"Lauraton, MA",55104 Grant Via Suite 451,732.348.6289x076,4.3,358,http://www.young-lewis.info/,14:00-20:00
636,Gaggan Anand,Indian,$,5.31,North America,"North Michaelville, VT",2073 Williams Forks Apt. 308,8995547274,3.7,254,http://smith.info/,14:00-20:00
637,Hünkar,Turkish,$$,34.33,North America,"Kimberlyton, MP",3122 Lee Plains Suite 445,863.838.2578x88358,4.4,516,http://ochoa-dixon.org/,15:00-21:00
638,Ciya Sofrası,Turkish,$$,22.82,Europe,"North Dannyborough, PK",3362 Diaz Burgs,366-361-6252x072,4.1,524,https://www.kelly.com/,16:00-20:00
639,Kikunoi,Japanese,$$$,37.43,North America,"Amberborough, FL",493 Michelle Squares Apt. 678,001-846-565-1636x513,4.9,384,https://www.andrews-shaffer.com/,11:00-23:00
640,Ta Karamanlidika Tou Fani,Greek,$,6.86,Asia,"North Wendy, KN",16820 Holt Stream,(843)376-9292x051,3.8,223,https://arias.info/,14:00-20:00
641,Il Pellicano,Italian,$$$,46.84,Middle East,"New Melissahaven, RO",99153 Patrick Locks,671.609.8858x69182,4.4,336,https://smith.info/,14:00-21:00
642,Epicure,French,$$$$,165.29,Asia,"Meyersmouth, GY",277 Richardson Overpass Apt. 032,979.730.9702x52211,4.2,154,http://rodgers-gill.com/,16:00-22:00
643,Hünkar,Turkish,$,11.8,North America,"Port Pamela, FL",243 Williams Curve,494.867.9220x479,3.9,255,http://johnson.com/,14:00-23:00
644,Vendôme,German,$$,32.95,Europe,"Wrightport, TN",850 Walton Knoll,8274654610,4.1,584,http://barber-dunn.com/,16:00-20:00
645,El Cardenal,Mexican,$$,30.77,Europe,"West Joshua, WS",614 Ramos Way Suite 314,681-250-5922x2052,4.0,530,https://olson.com/,13:00-20:00
646,Eleven Madison Park,American,$$,22.75,Europe,"East Kenneth, DM",960 Kenneth Orchard,7369049960,4.0,493,http://www.harris.info/,14:00-21:00
647,Barbary,Mediterranean,$,8.05,Europe,"East Timothy, BR",9716 Matthew Stravenue,477-892-6681x58838,3.3,250,http://www.craig.com/,15:00-23:00
648,Epicure,French,$$$,62.55,Europe,"South Kristi, LC",509 Hall Club,+1-533-864-3069x9539,4.6,394,https://www.bray.com/,11:00-23:00
649,Ultraviolet by Paul Pairet,Chinese,$$$,49.55,North America,"Raymondton, IA",423 Rachel Plain,7194361959,4.5,421,http://brooks.com/,15:00-21:00
650,Osteria Francescana,Italian,$$,11.48,Asia,"South Michelle, BO",4063 Samantha Turnpike,268.407.0832,3.9,490,http://www.jimenez.org/,11:00-22:00
651,Antica Pesa,Italian,$$$$,74.85,Europe,"North Sara, SB",85195 Gonzalez Crescent,909.284.6830x236,4.6,169,https://www.morales-barnes.com/,13:00-22:00
652,Barbary,Mediterranean,$,8.3,North America,"Port Charlesstad, AK",7445 Ross Station Apt. 905,(880)265-5813x97504,4.0,239,http://schneider.com/,16:00-21:00
653,Da Enzo al 29,Italian,$$,24.04,Europe,"Michaelshire, CO",329 Porter Circle,001-427-952-3261x51656,3.5,491,https://www.barnes.biz/,16:00-22:00
654,Jinjuu,Korean,$,13.63,North America,"Port Russell, PW",4171 Little Lights Suite 944,(299)940-6848x905,3.6,221,https://silva-lyons.info/,12:00-23:00
655,Guy Savoy,French,$$$,57.0,North America,"Port Johnside, AR",227 Brandt Canyon Suite 706,+1-679-963-3608x001,4.4,369,https://www.marshall-lang.net/,14:00-23:00
656,Osteria Francescana,Italian,$$,30.06,North America,"West Scott, WY",4177 Harris Village,(221)841-8400x84830,4.2,524,https://www.lee.com/,14:00-23:00
657,Karam Sethi,Indian,$$,24.91,Europe,"Huertaborough, CR",09772 Jennifer Row,+1-442-328-9589x862,4.1,513,https://www.fernandez-ewing.com/,16:00-20:00
658,Alinea,American,$$$,48.53,South America,"Connerton, SO",697 Johnston Fort Apt. 413,432-234-8852,4.9,411,http://wilson.org/,16:00-21:00
659,Facil,German,$$$,62.79,Europe,"East Kevin, HT",687 Ethan Club,001-822-276-7380x9597,3.9,308,http://www.carter-jones.com/,13:00-21:00
660,SingleThread,American,$,11.54,Europe,"Scottville, BB",86975 Fisher Forges,+1-473-933-7305,4.0,248,https://meyer.com/,15:00-21:00
661,Astrid y Gastón,Peruvian,$$,19.09,Asia,"Smithberg, SL",38731 Mitchell Streets,001-571-673-5853,4.0,520,http://dorsey-stewart.org/,14:00-20:00
662,La Mar,Peruvian,$,4.46,South America,"West Matthewfurt, PK",20420 Alejandro Flat,+1-776-704-2122x441,3.8,247,http://espinoza-hays.com/,12:00-23:00
663,Mugaritz,Spanish,$$$,39.09,Europe,"East David, MR",14699 Lisa Tunnel Suite 031,290.376.9614x187,4.1,328,https://www.brady-martin.net/,12:00-20:00
664,Bun Cha Huong Lien,Vietnamese,$$,25.9,North America,"Kirkchester, WY",513 Kimberly Gardens,3106523509,3.9,554,http://johnson-hunt.com/,16:00-23:00
665,Kyubey,Japanese,$$$,65.42,North America,"Hornland, MH",512 Renee Greens Apt. 195,460-989-5350x42128,3.6,260,http://www.price.org/,14:00-21:00
666,Vietnam House,Vietnamese,$,5.17,North America,"Laurashire, PR",646 Jackson Isle,001-340-770-1046x28268,3.7,241,http://davis-oneal.com/,12:00-23:00
667,Jing Yaa Tang,Chinese,$$$,67.24,North America,"West Amy, KS",402 Perry Ranch,+1-941-849-8118x8770,4.2,343,http://flores.com/,12:00-23:00
668,Hytra,Greek,$$$,48.91,North America,"Port Cathy, MA",949 Meagan Plains Apt. 661,001-925-320-6065x43380,4.4,356,http://adams-martin.com/,14:00-22:00
669,Al Halabi,Lebanese,$$,26.06,Europe,"East Teresafurt, GM",933 Sanford Vista,376-559-2190x813,4.1,486,http://fisher.com/,11:00-23:00
670,Il Pellicano,Italian,$$,20.2,Europe,"Hollyland, ML",60859 Kristen Vista,6709816502,3.9,534,http://www.williams-evans.com/,16:00-21:00
671,L'Ambroisie,French,$$$$,118.46,Africa,"Lake Jessicahaven, CI",12571 Lowe Springs,598.787.5347,4.6,199,https://newton.com/,15:00-23:00
672,Poom Seoul,Korean,$$,21.85,Europe,"Dannyfurt, HN",20396 Carl Terrace Apt. 201,5627600560,4.3,558,http://hayes.com/,12:00-21:00
673,Duck & Waffle,Mediterranean,$$$,43.06,North America,"Whitneytown, MP",64436 Edwards Garden Suite 660,(590)626-9722,4.5,423,https://cox.org/,11:00-20:00
674,L'Arpège,French,$$$,49.52,Asia,"Sharpport, GN",99111 Michael Station,403.379.0389,4.3,325,https://www.anderson.com/,12:00-23:00
675,Baron,Lebanese,$$$,28.53,Africa,"Jacksonhaven, SB",5656 Jackson Vista,+1-881-251-9622,3.8,287,https://price.com/,11:00-21:00
676,Mosu,Korean,$$$,52.93,North America,"Jamesshire, NY",6837 Hunter Ford,001-894-768-3618x6442,4.5,394,https://www.harris.net/,16:00-21:00
677,The Eight,Chinese,$$,21.79,Asia,"Port Jessica, HU",4797 Flynn Port,001-834-250-0257x4755,4.3,562,http://williams.com/,12:00-20:00
678,The Eight,Chinese,$$$,62.45,North America,"Ashleybury, GU",77283 Williams Fords Suite 283,001-491-323-2011,4.4,323,http://www.smith.org/,11:00-23:00
679,Bo.Lan,Thai,$$,16.56,Asia,"Lake Thomasstad, JM",9400 James Fords Apt. 044,288-704-9889x83448,4.5,510,http://www.munoz-stone.com/,11:00-20:00
680,Gymkhana,Indian,$,8.8,Asia,"Nicholsland, AR",1955 Mullins Mission,310.666.0680x7920,3.8,239,http://aguilar.com/,14:00-21:00
681,Funky Gourmet,Greek,$,6.77,Europe,"Johnsonport, CD",70352 Williams Place,001-622-283-9582x975,4.3,263,http://www.mercer.org/,11:00-23:00
682,La Mar,Peruvian,$$,25.4,North America,"New Sarahburgh, GU",8275 Taylor Inlet,001-202-438-7826x3198,4.0,552,http://www.torres-walker.info/,13:00-23:00
683,Kikunoi,Japanese,$$,25.42,Europe,"Meghanberg, IQ",368 Gonzalez Well,+1-821-568-9755,3.6,483,https://day.info/,13:00-21:00
684,Barbary,Mediterranean,$$$,39.23,Asia,"Shannonville, SI",24064 Rodriguez Terrace Apt. 874,001-325-774-8664x9152,4.5,368,http://evans.biz/,14:00-22:00
685,Pizzeria Brandi,Italian,$$,10.68,Africa,"East Jay, FM",160 Sweeney Stravenue Apt. 303,804-929-2753x125,3.6,477,http://www.hurley.info/,13:00-23:00
686,Sushi Saito,Japanese,$$,19.51,Europe,"Scottberg, LS",263 Rios Avenue Suite 761,615-347-9404x41545,3.7,454,https://www.johnson.com/,13:00-20:00
687,Indian Accent,Indian,$,11.82,Europe,"West Carol, VN",5713 Ellis Radial,4567355930,3.6,237,https://www.ellis.biz/,12:00-23:00
688,Karam Sethi,Indian,$,13.8,North America,"Lopezmouth, NJ",63994 James Mission Suite 780,001-211-310-0627x59369,4.4,267,http://walton-hardin.org/,12:00-23:00
689,Zahav,Mediterranean,$$,23.72,North America,"Markfurt, WY",910 Taylor Ridges,219-846-2410,4.0,484,https://whitaker.com/,15:00-21:00
690,Ristorante Grotta Palazzese,Italian,$$,26.65,Europe,"Katelynshire, PW",3307 Anderson Road,903.729.4983x5415,3.6,456,http://www.bird.biz/,11:00-21:00
691,Tantris,German,$,11.2,North America,"East Thomaschester, NY",21567 Steven Route,(364)622-1398x788,3.5,246,http://www.fox.biz/,14:00-23:00
692,Pizzeria Brandi,Italian,$$,29.36,North America,"Lake Daniel, OH",86077 Hardin Springs,743.222.6223,3.7,489,https://wilson-conway.com/,16:00-21:00
693,Vietnam House,Vietnamese,$,5.08,North America,"South Jennifer, MS",281 Elizabeth Meadow Apt. 858,001-205-231-2739x07967,3.9,228,https://taylor.com/,15:00-21:00
694,Sukiyabashi Jiro,Japanese,$,6.02,North America,"New David, MN",1242 Saunders Road Apt. 314,+1-258-601-5801,3.8,249,https://blair.com/,12:00-22:00
695,Cosme,Mexican,$,8.93,Africa,"East Alyssa, IS",9450 Amy Summit,001-532-743-0303,3.7,222,https://www.donovan.biz/,14:00-23:00
